reviewer_id,liked,review_text,rating,is_spam_1,review_length
A001944026UMZ8T3K5QH1,0,Not the right one,1,0,17
A01852072Z7B68UHLI5UG,0,I bought this for a gift.  The recipient loved it.  It was utilitarian.  No problems noted.They really. really enjoy using it.,4,1,126
A030530627MK66BD8V4LN,0,My boyfriend and I spent hours looking for the one I wanted. We came across this one and it was cheap!  After reading lots of reviews I didnt expect much from it. but it is perfect. Its holding my 32 inch Vizio  tv in my bedroom perfectly. My boyfriend did tighten lots of different bolts on it after it was up so it would be completely level. I think the people that say it sags didnt do this. He did use his own level and not the one it came with. I helped him when he did this. I held the tv in the position that made it level and he tightened lots of stuff until it held it there. I have had it up for a couple months with no problem. I love it. Perfect for the price. The hardest part was finding the stud. My apt complex had them every 22 inches on the wall I wanted it on.,4,1,779
A0641581307AKT5MAOU0Q,0,The charger was bought to support the  Universal Home Charger  which is not universal.  With the adapter it is now universal but it would not have been a necessary purchase if the  Home Charger  had come as advertised.,4,1,218
A076219533YHEV2LJO988,66,the nook is very good it just did not come with the charger cord and i was not informed about that.,3,0,99
A100IGCRWUYAZW,2324,I bought this camera to take on my trip to Europe.  It easily fits in a waistpouch and is very lightweight.  The ability to take 3 different size photos was a real convenience.  With the Panoramic size option I was able  to take a great photo of the Eiffel Tower  top to bottom!  The only thing  I dont like about this camera is that the 3volt battery must be changed  after about 12 rolls of film .Advantix 25 exposure. have been used.  The  batteries are expensive and its a real pain to have it die while on an  excursion.  The film will automatically rewind when the battery is low or  dead.  The zoom lens is wonderful!  This camera is well worth the cost for  anyone who wants a point and shoot camera with all the features of a larger  35mm.,5,1,748
A101DJDPGK0Q46,22,There are so many people who go on about disliking ereaders. because you cant holdsmell the actual book. I was one of these people. too. However. when I went to Barnes u0026 Noble to get my hands on a Nook. I instantly fell in love. I love books more than the average person. and the Nook. in my opinion. is 10 times better than an actual book. It is so simple to lay on the couch. bed. or in the park and read from the device. It doesnt have LED backlighting so the screen wont annoy your eyesight. I sometimes catch myself accidentally trying to manually turn the page due to forgetting that it isnt a physical book! Honestly. this is one purchase I am completely happy about. It is so easy to purchase the next book in a series on the Nook. too. Sometimes people get a little confused about how to handle the device. The battery will drop dismally if you completely shut down and turn back on the device a lot. The best thing to do is to put it in sleep mode even if you arent going to read from it for a day or two. I can get up to 10 days battery life on mine during avid reading. Also. navigating on the ereader could be troublesome at first if you are use to an all screen touch like me. but the designers definitely knew what they were doing with the design. and after learning how to go about finding my way around through the touch panel at the bottom of the nook. I think it is absolutely perfect!,5,1,1408
A101IWCCIWQWC9,46,Its entirely possible that its just a coincidence. but my DVD player stopped working entirely after I tried to use this cleaner.  It would not recognize the cleaning disc. and now it wont recognize anything else either.  The directions are pretty straightforward. so I dont think I did anything wrong.  Again  it may well be coincidental.  But I have to say Im not overjoyed with the experience.,1,0,395
A101NVN1GBVBL9,2323,I knew enough about wireless speakers reputation to be VERY wary about buying any. But when I saw these Emersons listed so cheap. I thought it would be worth the experiment. Im glad I didthey work fine for me.I  have simple needs. I  want to be able to listen to my computerbound MP3s a  few rooms away at the end of my apartment. and I dont care about perfect  quality. I just want my music to follow me while cooking dinner and hanging  on my porch.These speakers are a bit ornery. and it takes some work to  align things right. Luckily I have an airwell running the length of my  apartment. so I placed the antenna at the front of that opening. The signal  reaches into the near end of my far room. about about 25 feet from my  computer and the speakers antenna. and in the other direction 15 feet to  work on my porch. Despite the airwell trick. these are by no means line of  sight and there are a couple of walls the signal must pass through in  either direction. The receiverspeakers obviously have some digital  circuitry in them which try to lock in on the signal and they automatically  shut off when the static kicks up high.The battery outlay is the big  problem. 8 AAs per speaker. You can plug them in if you get 12V adaptors  but these cost USD12 each at Radio Shack. Im planning to hit the thrift  stores in the next week. though. and Ill be suprised if I cant find two  12V adapters for nexttonothing. So Im very glad I got these speakers.  theyre a lot more convenient than putting wire down for four rooms. It  seems like wireless speakers would be really hip now and that companies  would put some work into designing them better. but until they do these  Emersons are useful and enjoyableAS LONG AS YOU DONT EXPECT TOO MUCH!,3,0,1745
A102IUFPXVDRB6,67,The microphone works great at allowing me to record lectures on my iPod touch just a little inconvenient in the size department.,4,0,128
A102L0RVI4LHH3,0,It cleaned all three of my VCRs and everything play just well.  I would buy it again when need to,4,0,97
A102L3H9OM4EG1,12,I just received my bulldog 6002pro yesterday and I started installing it at around 1.00pm today and finished around 4.00. after drilling and mounting and everything. It was a fairly easy installation. just takes a while to mount the siren and connect some of the wires. It was actually a lot easier then I thought it would be and I recommend this to anyone who has atleast installed a subwoofer or amplifier before. A++++++,5,1,423
A102ZABPUPNYCT,0,Good quality. good audio and made by Motorola. Was going for a ear cover design but this is way sleeker.,4,1,104
A1038957GWRBP375RU5T,0,Awesome price and quality. Simple and easy to install and fully equipped for installation. If you need a swing arm mount for medium size tv this is one Id recommend.,5,0,165
A103XY7DJYZHFN,0,I thought this would be useful. but it turned out to be a bit disappointing.  The biggest problem is the volume  it is very loud. even with the volume control on the radio turned all the way down.  There is no way to make the volume any lower.  I had bought two  one for me and one for wife. for use on the boat. but she cant take the high volume. so one unit will never be used.  Also. the VOX capability of the Motorola radios is less than stellar.  At least it was not expensive.,3,0,482
A10484LD5RW5OF,11,These speakers sound like it is surround sound it looks good so when people come over you wont have to hide them i think these are great speakers.Hope you like them if u have the chance to get them!,4,0,198
A104SVEGLWBO3Y,0,Bought it for my 84 year old dad... He has usesused it every day for the past two years... No problems and he loves it!,5,0,119
A104VHQ06KFLDT,77,This headset is inexpensive. so dont expect a product you will have for years to come.  However it has good sound and the ear foam is denser than most low end product which makes it comfortable.,4,0,194
